invoice_uid,client_ref,issued_on,amount_usd,shipment_category
INV-0U1Q600,VERTEX PARTNERS,2024/02/14,19022.33,EXPRESS
INV-U85Y8GR,HOOLI LOGISTICS,18-Sep-2024,4410.68,GROUND
INV-L5NOFK6, UMBRELLA PARTNERS ,28-Sep-2025,11417.65,EXPRESS
INV-URQLK70, WAYNE FREIGHT ,07/06/2024,4993.81,GROUND
INV-J2RB5GR,TYRELL FREIGHT,10/24/2024,31331.3,FREIGHT
INV-1K397F6,NIMBUS GROUP,2024-12-25,3895.8,GROUND
INV-JA23ORZ,QUANTUM ENTERPRISES,21-Aug-2024,3230.77,GROUND
INV-XL20Q0F,WAYNE GROUP,06-Dec-2024,4237.32,GROUND
INV-G3HV6XR,BLUE PARTNERS,"Jun 13, 2025",13137.45,EXPRESS
INV-5YQDST6, INITECH FREIGHT ,2025/09/20,1725.17,GROUND
INV-S610ZDO,UMBRELLA INDUSTRIES,"Jul 11, 2024",2585.92,GROUND
INV-INPFJCF,STARK FREIGHT,"Sep 04, 2024",4224.99,GROUND
INV-NP9GUB9, WAYNE FREIGHT ,05/11/2025,3180.35,GROUND
INV-FTHNZL4, MASSIVE LLC ,28-Apr-2024,6183.95,EXPRESS
INV-8X26X73,MASSIVE CO,2025/08/18,2251.28,GROUND
INV-4DYRT3T,BLUE ENTERPRISES,2025/01/26,18536.51,EXPRESS
INV-WCQE1VH,HOOLI LOGISTICS,2025/08/27,4509.67,2DAY
INV-P3X7M6F,WAYNE GROUP,21-May-2024,10676.93,EXPRESS
INV-VZRFTIU,UMBRELLA ENTERPRISES,2025/05/21,1993.28,GROUND
INV-Y33IRVX,VECTOR FREIGHT,04/09/2024,3425.52,GROUND
INV-SWN0UMH,ZENITH HOLDINGS,11-Feb-2025,4224.05,GROUND
INV-LDE40LE,STARK ENTERPRISES,2025-01-31,2156.39,GROUND
INV-0OXABL8,TYRELL PARTNERS,03-Mar-2025,1212.12,GROUND
INV-XF95SWE,STARK PARTNERS,2025/06/11,1582.23,GROUND
INV-S7SGIE1,GREEN FREIGHT,2024-02-26,3820.45,GROUND
INV-WV7OGC5,HOOLI LOGISTICS,2025-06-04,14841.77,FREIGHT
INV-PBLR7SP,HOOLI SUPPLY,11/17/2025,4272.08,GROUND
INV-D4KCLV2,WAYNE GROUP,2025-06-14,4724.6,GROUND
INV-HKVPVO5, UMBRELLA PARTNERS ,09/13/2025,24700.45,FREIGHT
INV-4EDJT6C,MASSIVE GROUP,2024-05-16,18219.97,EXPRESS
INV-2HDU4R2,INITECH SUPPLY,2024-01-25,3438.99,GROUND
INV-WQ345CP,ZENITH LOGISTICS,01/05/2025,44336.42,FREIGHT
INV-SDPLPLI,STARK ENTERPRISES,23-Apr-2024,9594.54,2DAY
INV-GWPK59A, UMBRELLA PARTNERS ,"Jun 17, 2025",4118.36,GROUND
INV-MBNHAQX,NIMBUS INDUSTRIES,"Nov 02, 2025",2857.99,GROUND
INV-G84Y319,TYRELL PARTNERS,2025/09/02,2478.79,GROUND
INV-3ZJXAY3,ZENITH LOGISTICS,12/25/2024,10002.86,2DAY
INV-HJ3BWK5,NIMBUS HOLDINGS,"Apr 28, 2025",2036.37,GROUND
INV-XOMU6QD,VECTOR LOGISTICS,14-Oct-2024,1303.22,GROUND
INV-HE2R775,STARK PARTNERS,2025-03-27,8529.12,2DAY
INV-B4SXEV5,NIMBUS GROUP,2024/03/07,1756.74,GROUND
INV-5252X8N,VECTOR LOGISTICS,07/15/2025,9338.62,2DAY
INV-10R26GT,MASSIVE CO,"Jan 04, 2024",4514.04,GROUND
INV-YFN3JS0,MASSIVE CO,"Jul 04, 2024",6941.95,EXPRESS
INV-TP7D3V1,STARK PARTNERS,2024-10-01,1934.35,GROUND
INV-ANPT2J7,STARK GROUP,09-Jan-2025,17576.79,EXPRESS
INV-LIR7M4W,STARK ENTERPRISES,12/04/2025,3368.31,GROUND
INV-K7RJ8ZE,UMBRELLA INDUSTRIES,03-Aug-2024,37484.64,FREIGHT
INV-E2TQN2C,BLUE INDUSTRIES,"Sep 12, 2024",2091.6,GROUND
INV-1042BZ1,ZENITH LOGISTICS,"May 18, 2025",12356.77,EXPRESS
INV-T3JQ3LE,STARK PARTNERS,"Feb 24, 2025",3811.89,GROUND
INV-YXWE6UQ, MASSIVE LLC ,2024/02/20,30669.93,FREIGHT
INV-PSYW1YR,MASSIVE GROUP,"Oct 29, 2025",8886.9,2DAY
INV-IQN1LDU,TYRELL FREIGHT,"Jun 20, 2025",6796.29,2DAY
INV-9N28SJE,MASSIVE SUPPLY,"Mar 06, 2025",4504.97,GROUND
INV-8N35821,GREEN LOGISTICS,2025-03-21,5078.92,2DAY
INV-I218P5L,TYRELL PARTNERS,"May 05, 2025",41869.4,FREIGHT
INV-7YWOMZ5,QUANTUM ENTERPRISES,"May 25, 2024",19339.97,EXPRESS
INV-DK0N6NK,TYRELL LLC,09/18/2024,5311.02,GROUND
INV-GWUSMGL,UMBRELLA ENTERPRISES,10/09/2024,6924.97,EXPRESS
INV-BECL82R,INITECH SUPPLY,"Feb 19, 2024",9791.86,EXPRESS
INV-GH7HRKG,GREEN LOGISTICS,16-Jul-2025,2647.71,GROUND
INV-L7RGXTV,MASSIVE GROUP,21-Sep-2025,2259.4,GROUND
INV-D657LG5,TYRELL FREIGHT,03/22/2025,6318.11,2DAY
INV-CHGNE12,HOOLI ENTERPRISES,"Oct 03, 2025",3600.12,GROUND
INV-YUKR21S,VECTOR CO,"Jul 11, 2025",32332.33,FREIGHT
INV-MLIXQ3T,GREEN LOGISTICS,"Jan 06, 2024",3091.21,GROUND
INV-C1O9SYF,BLUE ENTERPRISES,"Apr 08, 2024",1784.45,GROUND
INV-8YWK8L9,NIMBUS INDUSTRIES,08/10/2024,48004.58,FREIGHT
INV-H4L6AUC,WONKA LLC,2025/07/05,3635.6,GROUND
INV-U9QGLM9,MASSIVE CO,2024/06/20,6966.38,EXPRESS
INV-GQU87J6, MASSIVE LLC ,"Aug 10, 2025",1217.48,GROUND
INV-ID8LUOS,STARK FREIGHT,2025-04-30,1582.29,GROUND
INV-IU4REBX,MASSIVE GROUP,"Mar 19, 2024",4320.6,GROUND
INV-G3TV18L,BLUE PARTNERS,29-Jan-2025,4278.03,GROUND
INV-N8EDV6Z,UMBRELLA ENTERPRISES,2024/11/09,10507.49,EXPRESS
INV-LNUNKJ4,ZENITH HOLDINGS,2025-04-20,10017.54,EXPRESS
INV-7VWXC05,TYRELL INDUSTRIES,02-Mar-2024,14484.47,EXPRESS
INV-E0FWLMI,WAYNE GROUP,2024/12/18,4153.78,2DAY
INV-686818P,GREEN CO,09/11/2024,12517.9,EXPRESS
INV-WVXG507,INITECH SUPPLY,04/16/2025,4957.17,GROUND
INV-903UHPN,GREEN CO,15-Aug-2024,9894.65,2DAY
INV-YEOI70J,HOOLI SUPPLY,20-Aug-2025,2088.26,GROUND
INV-GJ87JOK,WAYNE HOLDINGS,31-Aug-2024,18643.93,FREIGHT
INV-GURUQJ9,NIMBUS HOLDINGS,28-Jul-2025,1688.4,GROUND
INV-11PZJST,STARK ENTERPRISES,2025/03/18,1786.24,GROUND
INV-LZN9NYH,HOOLI CO,2024-02-14,8785.43,2DAY
INV-OFVX4TM,MASSIVE SUPPLY,"Mar 24, 2024",10146.09,EXPRESS
INV-SU1MQFW,APEX GROUP,2024/08/15,11930.44,EXPRESS
INV-KD0IWRT,WAYNE GROUP,02/12/2025,4087.34,GROUND
INV-1ZWERDE,ZENITH SUPPLY,01-Jul-2024,4419.5,GROUND
INV-4Z3C1MM,MASSIVE CO,"Jul 01, 2024",19579.3,EXPRESS
INV-8PR8X5T,VERTEX PARTNERS,2024/02/26,9965.92,2DAY
INV-YWYQ04O,WONKA LLC,05-Jul-2024,8532.96,2DAY
INV-MRWPMXV,MASSIVE CO,03-Oct-2024,2507.15,GROUND
INV-184DF6K,VERTEX PARTNERS,01/24/2025,20253.35,EXPRESS
INV-HT1WF3W,HOOLI CO,03-Jan-2024,4803.52,GROUND
INV-IKWDH66,ZENITH HOLDINGS,2024-09-30,10517.87,EXPRESS
INV-3K9W3YA,VECTOR LOGISTICS,11/18/2025,1947.49,GROUND
INV-W72SQI5,TYRELL FREIGHT,2025-07-23,4437.54,GROUND
INV-WAVAXO8,NIMBUS GROUP,04/24/2025,6911.12,2DAY
INV-72NYCSC,MASSIVE CO,07-Jul-2025,10632.73,2DAY
INV-L5WGZWA,STARK PARTNERS,2025/10/21,6708.94,2DAY
INV-A4N7QU7,VERTEX SUPPLY,09/10/2024,1902.56,GROUND
INV-T1C54EL,ZENITH SUPPLY,2025/01/15,43966.47,FREIGHT
INV-EQQIP7Y,MASSIVE CO,11-Oct-2024,1210.64,GROUND
INV-9V741ZV,HOOLI SUPPLY,2025-09-27,18206.96,FREIGHT
INV-11N80Y9,VERTEX PARTNERS,2024/10/25,5465.4,2DAY
INV-AYMXTMU,ZENITH SUPPLY,17-Oct-2024,14929.38,EXPRESS
INV-OYSVDUM,MASSIVE PARTNERS,2025/09/16,1230.28,GROUND
INV-G5SF8GA,UMBRELLA ENTERPRISES,02/09/2024,1505.25,GROUND
INV-5MCMZQ6,WAYNE GROUP,"Oct 01, 2024",1605.54,GROUND
INV-IJ8GGT1, MASSIVE LLC ,06/10/2024,28684.52,FREIGHT
INV-GZQDJVB,BLUE PARTNERS,19-Mar-2025,10721.11,EXPRESS
INV-KAFCV9P,GREEN LLC,28-Dec-2025,3347.19,GROUND
INV-6BVVU4F,WAYNE GROUP,04-Mar-2025,3072.06,GROUND
INV-ZDGI29A,NIMBUS HOLDINGS,2025/09/19,17406.32,EXPRESS
INV-O47YXWB,STARK ENTERPRISES,"Dec 05, 2024",4420.95,GROUND
INV-TFLVDTS,WAYNE HOLDINGS,2025/09/08,7907.3,EXPRESS
INV-THX9YUZ,UMBRELLA ENTERPRISES,08/10/2024,4863.94,GROUND
INV-AJ6MDW7,TYRELL PARTNERS,2025/02/01,4286.54,GROUND
INV-DF331T4,VECTOR FREIGHT,2025/05/08,9315.36,2DAY
INV-DCRMFUK,WAYNE GROUP,08-Nov-2024,8246.53,EXPRESS
INV-BNNJTXZ,TYRELL INDUSTRIES,2025-10-31,3527.63,2DAY
INV-HB7DZL7,HOOLI LOGISTICS,20-May-2025,3137.9,GROUND
INV-5BR14HG,GREEN LOGISTICS,08/08/2024,3891.54,GROUND
INV-SEPJMLP,MASSIVE SUPPLY,2024/08/14,30106.07,FREIGHT
INV-CVZIZN0,NIMBUS HOLDINGS,2025-09-03,8035.92,2DAY
INV-R69ST08, MASSIVE LLC ,2025/09/02,6139.0,2DAY
INV-EHCWG7J, INITECH FREIGHT ,05/20/2024,2486.2,GROUND
INV-JWBZ81E,NIMBUS HOLDINGS,"Sep 21, 2025",13637.32,EXPRESS
INV-EONTCC3,ZENITH HOLDINGS,2024-02-03,13809.35,FREIGHT
INV-SQ6TCSW,NIMBUS HOLDINGS,03/01/2025,10155.2,2DAY
INV-QO0KSGH,APEX FREIGHT,29-May-2025,2014.89,GROUND
INV-Y6KDW66,QUANTUM ENTERPRISES,2024/05/06,1339.97,GROUND
INV-9LQ6WX3,TYRELL PARTNERS,24-Oct-2024,4622.11,GROUND
INV-RHD9MGB,BLUE CO,12/19/2024,15239.93,EXPRESS
INV-6Q2WOSD,TYRELL INDUSTRIES,"Mar 23, 2025",8101.26,EXPRESS
INV-C28HZ5M,VERTEX PARTNERS,26-Jun-2024,50451.13,FREIGHT
INV-B0U8S8D,ZENITH HOLDINGS,2024/02/17,30757.87,FREIGHT
INV-K5U9Q3D,VECTOR FREIGHT,"Mar 11, 2024",2935.09,GROUND
INV-6UONHQI,ZENITH HOLDINGS,25-Mar-2025,15265.31,FREIGHT
INV-8YDVROO,QUANTUM FREIGHT,2025-12-17,4693.74,GROUND
INV-VZ8ZCXW,HOOLI ENTERPRISES,10/30/2024,4694.82,GROUND
INV-LEG23BO, WAYNE FREIGHT ,01/24/2025,19316.77,EXPRESS
INV-FFCMMGJ,BLUE PARTNERS,08/21/2025,4559.54,GROUND
INV-PQSP0HD,WONKA SUPPLY,2024/04/10,2509.97,GROUND
INV-TUIR7RH,WAYNE GROUP,2025-03-02,8021.88,2DAY
INV-L76R5V6,MASSIVE SUPPLY,2024/05/31,4756.87,GROUND
INV-7W40994,WAYNE GROUP,"May 28, 2024",1967.22,GROUND
INV-EPOQBM1,HOOLI CO,2024/08/03,4936.3,GROUND
INV-CO3N6IJ,GREEN CO,"May 24, 2025",10617.29,2DAY
INV-6G5V134, UMBRELLA PARTNERS ,12-Feb-2025,4598.6,GROUND
INV-LAM7AFX,TYRELL FREIGHT,2025/10/07,1240.82,GROUND
INV-0M7BM5L,NIMBUS INDUSTRIES,2025/08/02,10910.19,EXPRESS
INV-UY92PZ9,MASSIVE PARTNERS,11/06/2025,1768.22,GROUND
INV-KV79RLQ,TYRELL LLC,04/21/2025,7329.53,EXPRESS
INV-S9XN4F3,GREEN LOGISTICS,10/21/2024,38587.72,FREIGHT
INV-AY2GDBE,STARK FREIGHT,"May 01, 2024",4839.99,GROUND
INV-69GP6PA,HOOLI CO,11/09/2024,7182.84,2DAY
INV-3OTVM3E,HOOLI SUPPLY,2025-12-18,3954.95,GROUND
INV-KP6DRG0,VERTEX PARTNERS,2024/05/16,1531.05,GROUND
INV-MIE0P6F,HOOLI SUPPLY,06/11/2024,9158.67,EXPRESS
INV-HNWCCNM,VERTEX PARTNERS,08/22/2025,3477.34,GROUND
INV-D4G5WY5,QUANTUM FREIGHT,2024-08-03,2155.69,GROUND
INV-ITHHD53,STARK PARTNERS,2024/02/19,13232.62,EXPRESS
INV-6MNXF5L,QUANTUM FREIGHT,2024/12/19,1361.68,GROUND
INV-C1UL5UE,VECTOR LOGISTICS,2025-01-26,9758.78,EXPRESS
INV-QXK9LUW,BLUE ENTERPRISES,12/08/2024,36974.06,FREIGHT
INV-M4RULD0,MASSIVE CO,"Dec 16, 2024",1170.24,GROUND
INV-0T57QLK,BLUE INDUSTRIES,"Feb 02, 2024",1269.26,GROUND
INV-GZ4DKXM,APEX FREIGHT,2024-01-07,4582.78,GROUND
INV-7YKABHL,GREEN CO,2024-02-01,4991.96,GROUND
INV-C8ONDB7,VERTEX SUPPLY,2024-08-08,16101.85,EXPRESS
INV-369BR4I,STARK GROUP,"Feb 15, 2025",7861.97,EXPRESS
INV-TQUU24I,STARK ENTERPRISES,01/03/2025,4556.51,GROUND
INV-3224RCR, BLUE SUPPLY ,2024/06/30,12417.14,FREIGHT
INV-R4MB2YL, WAYNE FREIGHT ,2025/08/19,20867.77,FREIGHT
INV-KS9OSG1,VECTOR CO,01-Jun-2024,4478.01,GROUND
INV-X0J7YGJ,UMBRELLA ENTERPRISES,"Jan 29, 2025",4409.3,GROUND
INV-61FTNWH, WAYNE FREIGHT ,27-Nov-2025,3198.32,GROUND
INV-JXL4HZU,QUANTUM ENTERPRISES,2025-10-26,2648.73,GROUND
INV-8FZI32Q,STARK FREIGHT,"Dec 02, 2024",16461.91,EXPRESS
INV-5LZRB84,QUANTUM FREIGHT,08/10/2025,16452.7,EXPRESS
INV-9TV5TDB,UMBRELLA INDUSTRIES,2024/08/09,2449.33,GROUND
INV-2XP5RDS,WONKA LLC,"Mar 30, 2025",12793.25,EXPRESS
INV-UQ3TJT3,VERTEX PARTNERS,"Dec 27, 2025",16981.38,FREIGHT
INV-L0FR6C5,NIMBUS INDUSTRIES,23-Mar-2025,1409.29,GROUND
INV-G1U7TVM,TYRELL LLC,21-Aug-2025,4798.56,2DAY
INV-C0UPWYV,HOOLI LOGISTICS,2025-08-05,6857.07,EXPRESS
INV-4QCR0R4,GREEN FREIGHT,2024/04/06,2587.98,GROUND
INV-XBEKBE3, BLUE SUPPLY ,2024-04-10,8482.07,EXPRESS
INV-5K75U25,WONKA LLC,2024/07/28,4863.17,GROUND
INV-M9NHBOA,UMBRELLA ENTERPRISES,12/11/2024,3491.39,GROUND
INV-EUXQMMO,QUANTUM FREIGHT,2025-11-01,22873.16,FREIGHT
INV-36GKDKQ,VECTOR FREIGHT,2025-05-11,1642.25,GROUND
INV-RZRBYK8,VERTEX SUPPLY,2024-03-19,5144.4,GROUND
INV-25NIUUZ,VECTOR FREIGHT,18-Dec-2024,3782.4,GROUND
INV-GP6D8T6,MASSIVE SUPPLY,"Aug 18, 2024",53673.76,FREIGHT
INV-WCIDGQQ,TYRELL LLC,"Oct 17, 2025",5722.39,EXPRESS
INV-I9NI331,WAYNE GROUP,2024/10/15,6443.45,EXPRESS
INV-3IIZYVG,VERTEX PARTNERS,"Jan 06, 2025",3566.04,GROUND
INV-CD2J218,TYRELL FREIGHT,2024/10/26,3395.79,GROUND
INV-W49FF90,WAYNE GROUP,"May 22, 2024",5230.46,GROUND
INV-JNUB3LP,WONKA SUPPLY,2024/12/22,2009.15,GROUND
INV-P22355U,WONKA LLC,2025/09/27,2601.66,GROUND
INV-UB4VZZE,HOOLI ENTERPRISES,2025/06/07,24025.11,FREIGHT
INV-1KHWFVA,NIMBUS GROUP,2024/01/27,3059.92,2DAY
INV-ML818L9,STARK PARTNERS,01/24/2024,1544.18,GROUND
INV-EJ5U63M, BLUE SUPPLY ,04-Mar-2025,3493.58,GROUND
INV-Y13OXOX,NIMBUS INDUSTRIES,2024/12/11,9376.54,2DAY
INV-Z9A14VN,VERTEX PARTNERS,2024/03/31,3206.7,2DAY
INV-JFW0VLA, WAYNE FREIGHT ,05/09/2024,14443.0,EXPRESS
INV-8JIF7SH, RED LOGISTICS ,13-Feb-2024,6375.42,2DAY
INV-T8H9R5W,MASSIVE GROUP,2025/03/16,1885.1,GROUND
INV-VXC3QJ9, MASSIVE LLC ,"Aug 06, 2025",3844.77,2DAY
INV-BHN9J2N,WAYNE GROUP,2025/11/02,1359.91,GROUND
INV-B94FKOY,QUANTUM ENTERPRISES,2024/09/06,2278.04,2DAY
INV-LQSN73X,HOOLI LOGISTICS,"Jan 27, 2025",2743.98,GROUND
INV-A4W6JEA,HOOLI LOGISTICS,"Aug 29, 2025",1485.36,GROUND
INV-UDSY01H,WAYNE GROUP,"Jul 17, 2024",1147.6,GROUND
INV-BP3C1M4,MASSIVE SUPPLY,2025/12/18,9813.02,EXPRESS
INV-N0SAJLQ,MASSIVE GROUP,"Aug 03, 2024",1694.26,GROUND
INV-P16CLWY,VECTOR FREIGHT,"Jan 04, 2024",6149.24,2DAY
INV-PWURADR,VERTEX PARTNERS,04/22/2024,4838.24,GROUND
INV-WOJJ5VR, INITECH FREIGHT ,"Nov 20, 2025",15499.12,FREIGHT
INV-0I8Q4L4,NIMBUS INDUSTRIES,"Apr 26, 2025",11446.23,EXPRESS
INV-1V9JK44,TYRELL INDUSTRIES,2024/07/09,1424.77,GROUND
INV-ZATO5SX,VERTEX SUPPLY,"May 23, 2024",48133.67,FREIGHT
INV-PSTDWBP,GREEN LLC,2025/06/24,1999.86,GROUND
INV-5U5SUL4,HOOLI SUPPLY,15-Nov-2025,10006.42,EXPRESS
INV-WRYFNV0,WAYNE GROUP,"Jan 02, 2024",1911.21,GROUND
INV-LYA251J,BLUE PARTNERS,2024/04/20,1798.28,GROUND
INV-KLH1NZU,NIMBUS INDUSTRIES,04/24/2024,1751.44,GROUND
INV-N6XHTML, INITECH FREIGHT ,12/02/2024,20033.83,EXPRESS
INV-ZIY26KP,WAYNE GROUP,07/09/2024,43251.59,FREIGHT
INV-X5GN4TH,WONKA LLC,2025-08-25,13244.35,EXPRESS
INV-6WMMNAR, INITECH FREIGHT ,04/07/2025,8286.62,2DAY
INV-SG1HTU9,HOOLI SUPPLY,06/01/2025,8126.28,2DAY
INV-2CBXI5A,APEX FREIGHT,2025/05/03,45954.57,FREIGHT
INV-3GJV1OM,UMBRELLA INDUSTRIES,"Aug 01, 2025",2801.61,GROUND
INV-JLHXJFT,WONKA SUPPLY,13-Aug-2024,2794.2,GROUND
INV-B0BKXJU,GREEN FREIGHT,11/01/2024,5264.96,2DAY
INV-9N3SEP2,TYRELL FREIGHT,2024-03-01,10451.13,2DAY
INV-4YHPIFR,MASSIVE CO,"Aug 17, 2025",20794.99,EXPRESS
INV-L1UVI75,APEX FREIGHT,2025/05/25,3413.96,GROUND
INV-VNHVYJF,VECTOR LOGISTICS,2025-12-22,2442.66,GROUND
INV-VWI3KHC,ZENITH HOLDINGS,2025-11-22,4442.16,2DAY
INV-1LV9W1P, UMBRELLA PARTNERS ,2024/06/24,12828.76,EXPRESS
INV-LA5N6FH,VECTOR LOGISTICS,07/23/2025,2389.49,GROUND
INV-N1VBHDA,STARK FREIGHT,06-Aug-2025,1368.42,GROUND
INV-4Y3KETK,STARK FREIGHT,2024-10-13,15794.69,FREIGHT
INV-SW2KUQX,GREEN LOGISTICS,18-Jul-2024,3032.64,GROUND
INV-CXKQLOM,HOOLI CO,2024-07-25,1079.04,GROUND
INV-G9RC2Y6,MASSIVE SUPPLY,"Feb 27, 2024",21145.59,FREIGHT
INV-0GDBUXT,APEX GROUP,2025/07/11,1908.98,GROUND
INV-5Z63KW4,ZENITH SUPPLY,03-Aug-2025,1433.53,GROUND
INV-M59C89F,WAYNE GROUP,12/30/2024,1740.7,GROUND
INV-BO1KTSO,ZENITH HOLDINGS,09-Apr-2024,1093.07,GROUND
INV-MO0ERBA, WAYNE FREIGHT ,10/11/2024,6201.91,EXPRESS
INV-LYMETYR,HOOLI LOGISTICS,01/24/2024,6389.06,EXPRESS
INV-NFB3T3B,NIMBUS HOLDINGS,"Nov 08, 2024",3064.43,GROUND
INV-8DAN4Z6,APEX FREIGHT,02/29/2024,3461.06,GROUND
INV-5BI0K6W,NIMBUS HOLDINGS,07/08/2025,8113.54,EXPRESS
INV-ISWCQYC,WONKA SUPPLY,2024/04/28,16502.24,EXPRESS
INV-HIP1OAV,NIMBUS GROUP,2025-08-23,5001.05,GROUND
INV-0TP5UE1,QUANTUM FREIGHT,2024/02/13,10363.93,2DAY
INV-MMXCIOY,WONKA LLC,05/07/2024,10917.36,EXPRESS
INV-3APGWCM,BLUE CO,2024-06-23,4526.42,GROUND
INV-40O58SC,MASSIVE CO,2025/06/13,15758.77,EXPRESS
INV-UJTP7XG,VECTOR CO,2025/12/29,10761.03,EXPRESS
INV-DN7NUK3,STARK GROUP,2024/12/27,3024.42,GROUND
INV-URJXD5E,UMBRELLA INDUSTRIES,2025-07-18,35024.18,FREIGHT
INV-93BRBXU,ZENITH HOLDINGS,2024/12/29,4188.94,GROUND
INV-EOOXJYW,HOOLI SUPPLY,"Nov 13, 2024",3044.4,GROUND
INV-POU5SWK,UMBRELLA ENTERPRISES,05/26/2024,4638.61,GROUND
INV-3061JJ3,TYRELL LLC,2025/02/01,12867.11,FREIGHT
INV-X61SECT,QUANTUM FREIGHT,29-Jun-2025,4734.16,GROUND
INV-U8Y76Y4,NIMBUS HOLDINGS,2025/10/08,13094.43,EXPRESS
INV-KSQBGE8,BLUE PARTNERS,03/31/2025,4302.61,GROUND
INV-NF5MJJC,MASSIVE SUPPLY,09/14/2024,3112.12,GROUND
INV-HNX924Q,MASSIVE PARTNERS,01/25/2024,4254.78,GROUND
INV-Q4BBU10,NIMBUS INDUSTRIES,"Oct 28, 2024",3156.16,2DAY
INV-LTZRMAG,NIMBUS INDUSTRIES,2024-02-11,8750.96,2DAY
INV-6TB9C96,HOOLI LOGISTICS,2024-11-21,2992.97,GROUND
INV-0MA8NYT,HOOLI ENTERPRISES,17-Nov-2025,17413.42,EXPRESS
INV-0K6TGP6,APEX FREIGHT,2024-01-21,4143.56,GROUND
INV-PKGML98,VERTEX SUPPLY,2024-11-16,3600.91,GROUND
INV-IBPXV7H,ZENITH HOLDINGS,24-Sep-2025,1727.4,GROUND
INV-B4X92YP,QUANTUM FREIGHT,2025/04/23,2007.7,GROUND
INV-AID7L11,VECTOR LOGISTICS,"Feb 19, 2024",7694.15,2DAY
INV-HPKUQFM,TYRELL INDUSTRIES,2024/11/10,2002.15,GROUND
INV-FMZPW8Z,GREEN LOGISTICS,2025/12/18,4364.47,GROUND
INV-ZA26N37, WAYNE FREIGHT ,2025-12-20,1569.92,GROUND
INV-8UVVGY5,QUANTUM FREIGHT,"May 11, 2025",3561.71,GROUND
INV-DJ2A24C,BLUE ENTERPRISES,2024-07-07,3623.43,GROUND
INV-V4A19MZ,NIMBUS GROUP,2024/04/01,10448.62,EXPRESS
INV-PEDJ7UT,TYRELL LLC,05-Jan-2025,1899.18,GROUND
INV-4CK9ZVV,BLUE CO,"Aug 14, 2025",6177.95,2DAY
INV-XP9OWPA,NIMBUS INDUSTRIES,2025/11/04,6038.54,2DAY
INV-1KFF02J,GREEN CO,08/14/2025,3318.74,GROUND
INV-KII7PEA,BLUE PARTNERS,02/28/2025,13205.59,EXPRESS
INV-G3VV96V,MASSIVE GROUP,2024/03/31,2034.9,GROUND
INV-Y6ULMDB,NIMBUS GROUP,2024-02-02,3372.25,GROUND
INV-PVPXMGR,ZENITH HOLDINGS,2024-09-05,8489.15,EXPRESS
INV-D57B1T5, INITECH FREIGHT ,"Apr 23, 2024",15322.67,FREIGHT
INV-WB6KYPK,INITECH SUPPLY,2025/01/17,4166.34,GROUND
INV-FWEKNSM,BLUE ENTERPRISES,04-Oct-2024,6435.1,2DAY
INV-90BQZEI, UMBRELLA PARTNERS ,07/07/2025,3020.91,GROUND
INV-W98MKF9,ZENITH HOLDINGS,09/19/2025,2039.7,GROUND
INV-EL8RSUD,BLUE ENTERPRISES,27-Aug-2024,1625.08,GROUND
INV-LRH2W1H,ZENITH SUPPLY,25-Jun-2024,15400.17,EXPRESS
INV-EEVFNT2,HOOLI LOGISTICS,24-Sep-2025,2471.65,GROUND
INV-QRN7DD5, RED LOGISTICS ,2024/06/26,33784.62,FREIGHT
INV-F7C6MSN,HOOLI LOGISTICS,"Mar 08, 2025",2835.96,GROUND
INV-U4PVS0Y,WAYNE GROUP,2025/11/19,3588.42,GROUND
INV-LU9BKIK,ZENITH HOLDINGS,2025/04/23,4721.67,GROUND
INV-HWY4RML,STARK PARTNERS,2025/08/03,16332.41,EXPRESS
INV-UNHUCP6,APEX GROUP,2024/11/01,18852.79,EXPRESS
INV-PNFWP9Q,WAYNE GROUP,"Apr 04, 2024",4445.58,GROUND
INV-ANP8SXZ,HOOLI CO,2024-10-22,20945.46,EXPRESS
INV-SW8K94Y,ZENITH HOLDINGS,2025/07/08,12251.39,EXPRESS
INV-GRH0GWB,MASSIVE GROUP,01/28/2025,5211.35,GROUND
INV-IGCHESI,TYRELL INDUSTRIES,2025-07-30,15942.52,EXPRESS
INV-2Q82IZC,QUANTUM ENTERPRISES,2025/02/05,7800.89,2DAY
INV-OKSUB8S,ACME INDUSTRIES,18-Oct-2024,6208.49,2DAY
INV-BV3NAZO,GREEN CO,2025-02-27,10061.95,EXPRESS
INV-2ZBB9HI,WAYNE GROUP,2025-07-29,5245.05,GROUND
INV-UBA1O8A,INITECH SUPPLY,02/18/2024,2136.96,GROUND
INV-MG6Y06K,MASSIVE CO,03-Oct-2025,7773.5,EXPRESS
INV-YRQ0P74,QUANTUM FREIGHT,2025-05-30,1168.97,GROUND
INV-3TW727P, RED LOGISTICS ,2025-12-30,3386.91,GROUND
INV-U1SD3EW, RED LOGISTICS ,30-Nov-2025,18194.16,EXPRESS
INV-J3N71LG,BLUE INDUSTRIES,"Dec 25, 2024",2983.79,GROUND
INV-G8WHKDS,MASSIVE CO,05/15/2024,3020.89,GROUND
INV-56ZRSV3,ZENITH HOLDINGS,11/25/2024,5111.91,GROUND
INV-38J9VSU,MASSIVE PARTNERS,10-Jun-2024,16732.46,EXPRESS
INV-GXR25JR,BLUE ENTERPRISES,"Jun 13, 2025",50169.42,FREIGHT
INV-PZLFYHJ,STARK GROUP,"Sep 23, 2025",2808.48,GROUND
